Make;2014;2015
Alfa Romeo;688;756
Aston Martin;3;2
Audi;8013;7014
BMW;9549;7714
Bentley;15;20
Cadillac;1;0
Chevrolet;5;1816
Chrysler;1;0
Citroen;11522;13333
Dacia;14908;14716
Dodge;3;2
Ferrari;28;22
Fiat;19519;18609
Ford;30777;27466
Gaz;1;0
Honda;5769;5497
Hyundai;16224;15661
Infiniti;378;411
Isuzu;285;212
Iveco;3260;2046
Jaguar;267;178
Jeep;2587;1675
Kia;17679;16896
Lamborghini;3;5
Lancia;241;552
Land Rover;967;803
Lexus;2519;1722
Maserati;44;37
Mazda;9334;7530
McLaren;0;1
Mercedes-Benz;12964;10657
Mini;1130;901
Mitsubishi;4917;5720
Nissan;14365;11897
Opel;31890;28029
Peugeot;15853;16932
Porsche;860;708
Renault;26492;23006
Rolls Royce;6;8
Seat;7181;5532
Skoda;45529;44243
Smart;120;78
Ssangyong;231;120
Subaru;1488;1519
Suzuki;6714;5888
Tata;0;6
Tesla;21;8
Toyota;36465;31484
Volkswagen;40347;35081
Volvo;6821;5834
WAZ;6;20
